unit_numeric_code,start_date,end_date,is_in_union,age_range,data_series_type,group_type_relative_to_baseline,contraceptive_use_modern,contraceptive_use_traditional,contraceptive_use_any,unmet_need_modern,unmet_need_any,is_pertaining_to_methods_used_since_last_pregnancy,pertaining_to_methods_used_since_last_pregnancy_reason,has_geographical_region_bias,geographical_region_bias_reason,has_non_pregnant_and_other_positive_biases,non_pregnant_and_other_positive_biases_reason,age_group_bias,modern_method_bias,has_traditional_method_bias,traditional_method_bias_reason,has_absence_of_probing_questions_bias,se_modern,se_traditional,se_unmet_need,se_log_r_modern_no_use,se_log_r_traditional_no_use,se_log_r_unmet_no_need,source_id,record_id,region_code
854,2003.4137,2003.9124,Y,15-49,DHS,MW,0.052,0.011,0.062,,0.307,N,,N,,N,,None,None,N,,N,,,,,,,1787,Y_885,Centre-Est
854,2003.4137,2003.9124,Y,15-49,DHS,MW,0.066,0.085,0.15,,0.256,N,,N,,N,,None,None,N,,N,,,,,,,1787,Y_885,Centre-Nord
854,2003.4137,2003.9124,Y,15-49,DHS,MW,0.061,0.038,0.099,,0.34,N,,N,,N,,None,None,N,,N,,,,,,,1787,Y_885,Centre-Ouest
854,2003.4137,2003.9124,Y,15-49,DHS,MW,0.023,0.121,0.144,,0.202,N,,N,,N,,None,None,N,,N,,,,,,,1787,Y_885,Est
854,2003.4137,2003.9124,Y,15-49,DHS,MW,0.084,0.039,0.123,,0.423,N,,N,,N,,None,None,N,,N,,,,,,,1787,Y_885,Nord
854,2003.4137,2003.9124,Y,15-49,DHS,MW,0.139,0.023,0.161,,0.197,N,,N,,N,,None,None,N,,N,,,,,,,1787,Y_885,Cascades
854,2003.4137,2003.9124,Y,15-49,DHS,MW,0.117,0.024,0.141,,0.346,N,,N,,N,,None,None,N,,N,,,,,,,1787,Y_885,Hauts Bassins
854,2003.4137,2003.9124,Y,15-49,DHS,MW,0.032,0.003,0.035,,0.348,N,,N,,N,,None,None,N,,N,,,,,,,1787,Y_885,Sahel
854,2003.4137,2003.9124,Y,15-49,DHS,MW,0.071,0.226,0.297,,0.171,N,,N,,N,,None,None,N,,N,,,,,,,1787,Y_885,Sud-Ouest
854,2014.833,2015,Y,15-49,PMA,MW,0.218,0,0.218,,0.3158,N,,N,,N,,None,None,N,,N,,,,,,,,,Boucle de Mouhoun
