"unit_numeric_code","is_in_union","age_range","mid_year","population_count","region_code"
231,"Y","15-49",1974,61021.1391744091,"Afar"
231,"Y","15-49",1974,1247150.38101403,"Amhara"
231,"Y","15-49",1974,63537.7417271882,"Benishangul"
231,"Y","15-49",1974,33844.8204507512,"Dire Dawa"
231,"Y","15-49",1974,23916.2000276395,"Gambela"
231,"Y","15-49",1974,15627.1730133215,"Harari"
231,"Y","15-49",1974,2190316.44118179,"Oromia"
231,"Y","15-49",1974,1118420.83871208,"SNNPR"
231,"Y","15-49",1974,269762.773896448,"Somali"
231,"Y","15-49",1974,351149.332846694,"Tigray"
231,"N","15-49",1975,132560.337173765,"Addis Adaba"
231,"N","15-49",1975,11950.7185119595,"Afar"
231,"N","15-49",1975,400975.453535325,"Amhara"
231,"N","15-49",1975,17721.5561999684,"Benishangul"
231,"N","15-49",1975,16229.6163116478,"Dire Dawa"
231,"N","15-49",1975,8616.24174217762,"Gambela"
231,"N","15-49",1975,5895.36032820819,"Harari"
231,"N","15-49",1975,585673.478371023,"Oromia"
231,"N","15-49",1975,296964.50005961,"SNNPR"
231,"N","15-49",1975,76677.0610246827,"Somali"
231,"N","15-49",1975,145799.676741632,"Tigray"
231,"Y","15-49",1975,199997.04908126,"Addis Adaba"
231,"Y","15-49",1975,62270.5829581405,"Afar"
231,"Y","15-49",1975,1272686.5199983,"Amhara"
231,"Y","15-49",1975,64838.714431196,"Benishangul"
231,"Y","15-49",1975,34537.813093888,"Dire Dawa"
231,"Y","15-49",1975,24405.8983167783,"Gambela"
231,"Y","15-49",1975,15947.148589703,"Harari"
231,"Y","15-49",1975,2235164.46104614,"Oromia"
231,"Y","15-49",1975,1141321.16445871,"SNNPR"
231,"Y","15-49",1975,275286.325660431,"Somali"
231,"Y","15-49",1975,358339.322365453,"Tigray"
231,"N","15-49",1976,134631.680214184,"Addis Adaba"
231,"N","15-49",1976,12137.4564016294,"Afar"
231,"N","15-49",1976,407240.960494398,"Amhara"
231,"N","15-49",1976,17998.467249554,"Benishangul"
231,"N","15-49",1976,16483.2148126213,"Dire Dawa"
231,"N","15-49",1976,8750.87622446497,"Gambela"
231,"N","15-49",1976,5987.47923682705,"Harari"
231,"N","15-49",1976,594825.014262121,"Oromia"
231,"N","15-49",1976,301604.767001928,"SNNPR"
231,"N","15-49",1976,77875.1908733195,"Somali"
231,"N","15-49",1976,148077.893228953,"Tigray"
231,"Y","15-49",1976,203079.366290792,"Addis Adaba"
231,"Y","15-49",1976,63230.2855656596,"Afar"
231,"Y","15-49",1976,1292300.92721555,"Amhara"
231,"Y","15-49",1976,65837.9966018742,"Benishangul"
231,"Y","15-49",1976,35070.1034260099,"Dire Dawa"
231,"Y","15-49",1976,24782.0374685381,"Gambela"
231,"Y","15-49",1976,16192.9230687105,"Harari"
231,"Y","15-49",1976,2269612.39873354,"Oromia"
231,"Y","15-49",1976,1158910.99332356,"SNNPR"
231,"Y","15-49",1976,279528.987154836,"Somali"
231,"Y","15-49",1976,363861.981150933,"Tigray"
231,"N","15-49",1977,136252.693975561,"Addis Adaba"
231,"N","15-49",1977,12283.5957339459,"Afar"
231,"N","15-49",1977,412144.287854699,"Amhara"
231,"N","15-49",1977,18215.1752565312,"Benishangul"
231,"N","15-49",1977,16681.6786362954,"Dire Dawa"
231,"N","15-49",1977,8856.23991569568,"Gambela"
231,"N","15-49",1977,6059.57063629122,"Harari"
231,"N","15-49",1977,601986.920970823,"Oromia"
231,"N","15-49",1977,305236.196670109,"SNNPR"
231,"N","15-49",1977,78812.8361279479,"Somali"
231,"N","15-49",1977,149860.8042221,"Tigray"
231,"Y","15-49",1977,205642.164955893,"Addis Adaba"
231,"Y","15-49",1977,64028.2321734385,"Afar"
231,"Y","15-49",1977,1308609.36441264,"Amhara"
231,"Y","15-49",1977,66668.8517147595,"Benishangul"
231,"Y","15-49",1977,35512.6772624697,"Dire Dawa"
231,"Y","15-49",1977,25094.7791010479,"Gambela"
231,"Y","15-49",1977,16397.2727393962,"Harari"
231,"Y","15-49",1977,2298254.20381699,"Oromia"
231,"Y","15-49",1977,1173536.09089456,"SNNPR"
231,"Y","15-49",1977,283056.556342302,"Somali"
231,"Y","15-49",1977,368453.806586509,"Tigray"
231,"N","15-49",1978,137655.642883347,"Addis Adaba"
231,"N","15-49",1978,12410.0758549314,"Afar"
231,"N","15-49",1978,416388.001220101,"Amhara"
231,"N","15-49",1978,18402.7308892724,"Benishangul"
231,"N","15-49",1978,16853.4443617278,"Dire Dawa"
231,"N","15-49",1978,8947.42968783366,"Gambela"
231,"N","15-49",1978,6121.96403019624,"Harari"
231,"N","15-49",1978,608185.381115979,"Oromia"
231,"N","15-49",1978,308379.112793382,"SNNPR"
231,"N","15-49",1978,79624.3458246667,"Somali"
231,"N","15-49",1978,151403.871338564,"Tigray"
231,"Y","15-49",1978,208135.445868993,"Addis Adaba"
231,"Y","15-49",1978,64804.533907141,"Afar"
231,"Y","15-49",1978,1324475.42355325,"Amhara"
231,"Y","15-49",1978,67477.1692867632,"Benishangul"
231,"Y","15-49",1978,35943.2459661721,"Dire Dawa"
231,"Y","15-49",1978,25399.0373924569,"Gambela"
231,"Y","15-49",1978,16596.0792786913,"Harari"
231,"Y","15-49",1978,2326119.07939374,"Oromia"
231,"Y","15-49",1978,1187764.47220386,"SNNPR"
231,"Y","15-49",1978,286488.43768535,"Somali"
231,"Y","15-49",1978,372921.075463582,"Tigray"
231,"N","15-49",1979,139165.01056047,"Addis Adaba"
231,"N","15-49",1979,12546.1499523946,"Afar"
231,"N","15-49",1979,420953.615654927,"Amhara"
231,"N","15-49",1979,18604.5132978483,"Benishangul"
231,"N","15-49",1979,17038.2391411859,"Dire Dawa"
231,"N","15-49",1979,9045.53653533568,"Gambela"
