"Country","mCPR with SC Introduction","mCPR without SC Introduction","DMPA-SC Users","Additional Users","Former IM","Former STM","Reduced Discontinuation","Uptake from Non-Users"
"Abia",19.8,17.4,34895,26527,0.0285672342796676,0.0113946775043178,0.021805451995779,0.0212016309939225
"Abuja",28,25.8,37478,24833,0.0305017406552138,0.0327717094542638,0.0313955525092779,0.0193711963767107
"Adamawa",28.3,26.4,38089,25356,0.0281445113921567,0.0361489312285534,0.0312962927460111,0.0198127275073014
"AkwaIbom",25.3,22.3,56640,42609,0.0217557693133629,0.0511987660359427,0.03334910024409,0.0341264679951228
"Anambra",28.3,26.1,53972,40404,0.013717220973225,0.0584925293602196,0.031347728239413,0.0323724707270744
"Bauchi",14.5,12.3,57300,47598,0.0276014651940989,0.0199929362215305,0.0246055678978374,0.0386698002979008
"Bayelsa",11.2,9.1,15238,13786,0.00139244469035325,0.00635143419291905,0.00334507223458544,0.0113640975808067
"Benue",22.8,20.9,44852,35088,0.0229721042933858,0.0260119967876319,0.0241690775502758,0.0282460573343187
"Borno",14.8,12.2,55505,48210,0.0153598532608926,0.0216522572863066,0.0178375196106809,0.0394738969355853
"CrossRiver",26.4,24.3,31948,25689,0.0157455027218497,0.0154245081494095,0.0156191094630272,0.0207694213462978
"Delta",21.1,19.1,46877,36603,0.0200883388913383,0.0323878294561493,0.0249313263678086,0.0294769766477654
"Ebonyi",15,13,19542,16753,0.00776359496386231,0.00595278391058527,0.00705057882656269,0.0136809321644841
"Edo",24.1,21.2,36073,26641,0.0249351967115939,0.0217646459976994,0.0236867761107574,0.0212144770346606
"Ekiti",31.6,29.7,26120,18105,0.0138455411856062,0.0275033789324349,0.0192233848300247,0.0142823066536142
"Enugu",27.1,24.9,39707,29792,0.00803243189855979,0.0451849815587206,0.0226614388297802,0.0238900462835488
"Gombe",26.1,24,25495,18914,0.0120143541896243,0.0217938001381031,0.0158650611766928,0.0151024527253218
"Imo",22.4,20.2,48870,38649,0.00915375872837041,0.0455109880104095,0.0234696041826395,0.0312485554722056
"Jigawa",13.9,11.8,47832,38527,0.0388821778253854,0.00393913543978504,0.0251231757129403,0.0310756379420295
"Kaduna",21.6,19.9,66645,50275,0.0544439414931416,0.0240687737633118,0.0424835634485319,0.0401306853534724
"Kano",14.2,12.6,87412,75216,0.0420353466286427,0.0161164120486319,0.0318296332364495,0.0614143994579272
"Katsina",11.8,10,58472,50519,0.0289083585882323,0.00867348721180569,0.020940774227918,0.0412678620278139
"Kebbi",11.6,9.8,31212,25026,0.0227692135497385,0.00639732602991534,0.0163226988907062,0.0201858228304622
"Kogi",21.2,19.2,36272,28741,0.0131581329148369,0.0256556033039444,0.0180790759622806,0.0232116559238957
"Kwara",24.8,22.8,25301,17933,0.0229438251776699,0.0127460792812547,0.0189284104412366,0.0141514710289132
"Lagos",33.9,32.1,132693,84403,0.0560259836800666,0.19932853344022,0.112452097442881,0.065592928084533
"Nasarawa",22.3,20.5,18756,14824,0.0122246374363242,0.00682607432700468,0.0100989255304855,0.0119382131287826
"Niger",15.2,13.2,43080,35074,0.0275556798866403,0.0106271977065839,0.0208900032261596,0.0283763502695853
"Ogun",26.2,24.3,48465,32298,0.0480873458146757,0.0307389367743762,0.0412563207997672,0.025176829080532
"Ondo",25.4,23.5,36086,28106,0.0251901645982034,0.0133899008756329,0.020543750250689,0.0225737074270306
"Osun",31.7,29.8,42323,28219,0.0402534192770464,0.0288993613579748,0.035782700752614,0.0220086636187316
"Oyo",28.6,26.5,82902,54084,0.119040225176604,0.0138926086177517,0.0776378120041322,0.0417898383771703
"Plateau",27.6,25.7,39205,25542,0.0550792028735889,0.00825892509656441,0.0366434784243402,0.0197362495356946
"Rivers",27.5,25.5,71783,49569,0.0271664897182241,0.089980046730807,0.051899649873233,0.0391347542633307
"Sokoto",10.5,8.4,36576,31537,0.0175460684829157,0.00643949989447083,0.013172800151438,0.0257577210475178
"Taraba",17.5,15.6,19765,16202,0.0111210080361645,0.00613016377297993,0.00915583751660093,0.0131296913312205
"Yobe",10.6,7.9,28549,25527,0.0107301343269638,0.00360668887363446,0.00792524115370551,0.0209676279946117
"Zamfara",15.4,13.8,28980,22544,0.0252475811717739,0.00474709122815308,0.0171754081386474,0.0180763772001036
